          1.86822619         -0.87400603         -0.04753857
           1           2           1           2   1.5143672423879955E-005
           1           2           1           3  -5.0811316564250530E-006
           1           2           2           1   8.8969072770391175E-005
           1           2           2           2  -1.7710328581048622E-005
           1           2           2           3   6.4357995052702294E-006
           1           2           5           1   1.5147098461637666E-006
           1           2           5           2  -2.3445712857808198E-006
           1           2           5           3   1.0272677567804928E-006
           1           2           6           2   2.2531715382309937E-006
           1           2           7           2   4.4864777485474132E-006
           1           2           7           3  -7.3442473526291792E-007
           1           2           8           1  -1.7138826060508470E-007
           1           2           8           3  -1.4702536201496879E-006
           1           2           9           2   6.3310104376910066E-006
           1           2           9           3   1.0533598457456578E-006
           1           2          10           2  -2.5247377613959532E-005
           1           2          11           2  -5.5153127706190084E-007
           1           2          11           3  -3.0490124851313935E-007
           1           2          12           2   5.7591491065928711E-006
           1           2          12           3  -1.5300641406616137E-006
           1           2          13           1   2.1827680302797220E-006
           1           2          13           2  -1.8287753015231627E-006
           1           2          13           3   3.2849244683080007E-007
           1           2          14           2  -1.0976349672995601E-005
           1           2          14           3   1.1120082745910329E-007
           1           2          15           2  -6.2622757202263223E-005
           1           2          15           3   3.4834514620285476E-006
           1           2          16           2   4.7460393909431254E-005
           1           2          18           2  -3.5538597915435460E-006
           1           2          19           1   4.2805648563304796E-007
           1           2          19           2  -1.8415378021213262E-007
           1           2          19           3  -1.5236163047944892E-007
           1           3           1           1   2.5014250161263389E-005
           1           3           1           2  -5.0811316946488835E-006
           1           3           1           3   2.4774656045942251E-006
           1           3           2           1  -4.0132633342018934E-005
           1           3           2           2   1.0114450622476526E-005
           1           3           2           3  -4.2989262427192408E-006
           1           3           5           1  -7.1315194016755850E-008
           1           3           5           2   2.4504007646072126E-006
           1           3           5           3  -1.3022864232230521E-006
           1           3           6           2  -4.8586818605874567E-006
           1           3           7           2  -2.1892295782292770E-008
           1           3           7           3   1.5747528171122756E-009
           1           3           8           1   5.3087567204850767E-006
           1           3           8           3   1.6897841697837591E-006
           1           3           9           2  -8.4907974608185207E-006
           1           3           9           3  -1.1102511521872460E-006
           1           3          10           2   3.0514699477416421E-005
           1           3          11           2  -3.9349955156217590E-006
           1           3          11           3   1.8586939773410012E-006
           1           3          12           2  -3.8370669265165298E-006
           1           3          12           3   3.9082803645991177E-007
           1           3          13           1  -1.0220746888926441E-007
           1           3          13           2   2.8487576162546710E-007
           1           3          13           3  -4.2430897216439702E-007
           1           3          14           2   1.5925490501861774E-007
           1           3          14           3   4.6606843011487409E-007
           1           3          15           2   8.5514907865192367E-006
           1           3          15           3  -1.2559957925753026E-006
           1           3          16           2  -2.7462267486715631E-005
           1           3          18           2   4.4562516035993706E-006
           1           3          19           1  -1.9661389576959167E-007
           1           3          19           2   8.2859646122801462E-008
           1           3          19           3   1.7818731834240793E-007
           2           1           1           1  -4.9677908437249579E-004
           2           1           1           2   8.8969075093905196E-005
           2           1           1           3  -4.0132634911337048E-005
           2           1           2           1   4.9131426972668915E-003
           2           1           2           2  -1.0708808684727125E-003
           2           1           2           3   3.6232030186022449E-004
           2           1           5           1  -4.6314490098750277E-005
           2           1           5           2  -6.9611466584106876E-005
           2           1           5           3   4.0646161687653782E-005
           2           1           6           2   5.4196528769304836E-004
           2           1           7           2  -1.2472810337222382E-004
           2           1           7           3   1.9794167233632996E-005
           2           1           8           1  -6.6468131016970576E-004
           2           1           8           3  -1.0195492293302889E-004
           2           1           9           2   2.5754855356756746E-004
           2           1           9           3   5.7614340613848793E-006
           2           1          10           2  -2.0450860108470550E-004
           2           1          11           2   7.1812656324215759E-006
           2           1          11           3  -1.4584449608197303E-005
           2           1          12           2   4.1254899870093065E-004
